date,equipo_local_norm,equipo_visitante_norm,goles_local_num,goles_visitante_num,ranking_local,ranking_visitante,local_lastN_matches,local_lastN_wins,local_lastN_winrate,local_lastN_goals_for,local_lastN_goals_against,local_lastN_remates_total,local_lastN_remates_puerta,local_lastN_possession_avg,visitante_lastN_matches,visitante_lastN_wins,visitante_lastN_winrate,visitante_lastN_goals_for,visitante_lastN_goals_against,visitante_lastN_remates_total,visitante_lastN_remates_puerta,visitante_lastN_possession_avg,total_goles_partido,diferencia_goles_partido,resultado_texto,peso
2025-08-18,def de belgrano,defensores unidos,3,1,0.9428571428571428,0.17142857142857137,6,0,0.0,2,8,44,19,51.833,6,1,0.167,6,9,48,22,46.167,4,2,gana_local,2
2025-08-18,nueva chicago,central norte,0,0,0.6571428571428571,0.22857142857142854,6,3,0.5,7,6,44,22,50.0,6,2,0.333,8,6,47,28,51.5,0,0,empate,2
2025-08-18,agropecuario,ca mitre,2,1,0.8857142857142857,0.37142857142857144,6,2,0.333,7,7,75,37,52.667,6,1,0.167,2,8,40,11,46.667,3,1,gana_local,2
2025-08-17,san martin tuc,alvarado,0,0,0.2857142857142857,0.48571428571428577,6,1,0.167,4,9,45,22,52.333,6,1,0.167,4,3,64,24,46.667,0,0,empate,2
2025-08-17,almagro,atlanta,0,0,0.02857142857142858,0.8,6,1,0.167,4,7,45,19,51.5,6,2,0.333,8,8,57,30,50.833,0,0,empate,2
2025-08-17,club a guemes,all boys,1,2,0.7714285714285715,0.11428571428571432,6,1,0.167,6,7,59,20,49.333,6,2,0.333,2,1,23,8,45.333,3,-1,gana_visitante,2
2025-08-17,estudiantes rio cuarto,ca estudiantes,1,0,0.8285714285714285,0.9714285714285714,6,2,0.333,5,4,57,30,47.167,6,4,0.667,9,2,60,32,49.167,1,1,gana_local,2
2025-08-17,gimnasia jujuy,chaco for ever,2,0,0.02857142857142858,0.6571428571428571,6,1,0.167,6,3,53,27,54.167,6,3,0.5,5,4,49,20,47.333,2,2,gana_local,2
2025-08-17,patronato,arsenal sarandi,1,0,0.4,0.22857142857142854,6,3,0.5,5,5,62,26,52.667,6,3,0.5,11,13,62,36,51.167,1,1,gana_local,2
2025-08-17,san miguel,racing cordoba,1,0,0.1428571428571429,0.5142857142857142,6,2,0.333,7,8,57,31,51.333,6,2,0.333,5,7,69,32,53.667,1,1,gana_local,2
2025-08-16,los andes,quilmes,1,0,0.08571428571428574,0.34285714285714286,6,2,0.333,6,3,42,22,49.167,6,2,0.333,6,8,46,26,51.5,1,1,gana_local,2
2025-08-16,gimnasia mendoza,alte brown,2,1,0.4285714285714286,0.19999999999999996,6,5,0.833,7,1,49,25,51.167,6,2,0.333,6,4,50,24,50.833,3,1,gana_local,2
2025-08-16,talleres (re),deportivo moron,2,1,0.1428571428571429,0.8857142857142857,6,2,0.333,6,7,53,35,49.5,6,2,0.333,5,5,58,24,47.667,3,1,gana_local,2
2025-08-16,tristan suarez,deportivo madryn,2,2,0.6571428571428571,0.8571428571428572,6,2,0.333,4,5,55,26,46.667,6,5,0.833,14,5,68,47,51.5,4,0,empate,2
2025-08-16,chacarita,temperley,0,0,0.02857142857142858,0.37142857142857144,6,2,0.333,5,7,45,26,54.833,6,3,0.5,3,0,42,19,47.333,0,0,empate,2
2025-08-16,san telmo,colon,1,0,0.11428571428571432,0.0,6,1,0.167,5,7,47,25,50.333,6,2,0.333,5,12,52,28,50.333,1,1,gana_local,2
2025-08-16,gimnasia y tiro,deportivo maipu,1,0,0.4,0.6571428571428571,6,2,0.333,5,3,66,34,53.0,6,3,0.5,5,4,41,19,49.0,1,1,gana_local,2
2025-08-16,ferro carril oeste,colegiales,1,0,0.2857142857142857,0.7428571428571429,6,0,0.0,2,8,52,20,50.667,6,3,0.5,7,4,30,18,45.5,1,1,gana_local,2
2025-08-12,racing cordoba,quilmes,2,0,0.3142857142857143,0.2571428571428571,6,2,0.333,4,7,68,25,53.167,6,2,0.333,8,8,50,28,51.833,2,2,gana_local,2
2025-08-11,all boys,patronato,1,0,0.3142857142857143,0.6285714285714286,6,1,0.167,1,1,20,6,46.667,6,4,0.667,6,4,65,30,51.5,1,1,gana_local,2
2025-08-10,arsenal sarandi,ferro carril oeste,2,0,0.11428571428571432,0.6571428571428571,6,2,0.333,9,15,63,30,50.833,6,0,0.0,3,7,54,20,52.833,2,2,gana_local,2
2025-08-10,ca estudiantes,def de belgrano,2,0,0.9714285714285714,1.0,6,3,0.5,7,3,52,27,50.5,6,1,0.167,4,6,43,20,51.167,2,2,gana_local,2
2025-08-10,gimnasia y tiro,los andes,0,0,0.8,0.2857142857142857,6,3,0.5,6,3,58,33,53.833,6,2,0.333,7,5,43,24,49.0,0,0,empate,2
2025-08-10,chaco for ever,gimnasia mendoza,0,2,0.37142857142857144,0.7142857142857143,6,3,0.5,7,4,47,19,45.833,6,4,0.667,6,2,48,21,53.667,2,-2,gana_visitante,2
2025-08-10,colon,agropecuario,0,1,0.0,0.9428571428571428,6,2,0.333,5,12,27,16,41.167,6,1,0.167,7,8,73,38,53.5,1,-1,gana_visitante,2
2025-08-10,alte brown,central norte,0,0,0.11428571428571432,0.17142857142857137,6,2,0.333,7,5,59,27,50.833,6,3,0.5,9,6,50,30,51.667,0,0,empate,2
2025-08-10,ca mitre,gimnasia jujuy,1,1,0.11428571428571432,0.1428571428571429,6,2,0.333,2,7,32,8,45.167,6,2,0.333,6,2,56,24,52.167,2,0,empate,2
2025-08-10,deportivo madryn,san martin tuc,3,1,0.8857142857142857,0.1428571428571429,6,4,0.667,12,5,61,40,50.167,6,2,0.333,5,6,35,15,53.5,4,2,gana_local,2
2025-08-10,temperley,san telmo,0,0,0.34285714285714286,0.4,6,3,0.5,5,2,36,16,48.167,6,1,0.167,5,8,44,24,51.667,0,0,empate,2
